id,0,density,3
7557,18845
7557,18564
18594,18845
12195,18845
18564,18845
18845,20166
11500,18845
10065,18845
13713,18845
18845,20724
18845,20949
3350,18845
18845,19798
4697,18845
18778,18845
3291,18845
4605,18845
3291,18564
7908,18594
4605,18594
10900,12195
9783,12195
10065,20166
19798,20166
1006,13713
11022,13713
13713,15218
19923,20949
10648,20949
18778,20949
13407,20949
12852,20949
11768,20949
3350,4697
3291,19571
3291,14502
3291,7645
3291,6046
4605,6562
1799,4605
1006,4605
7908,19334
7908,8935
7908,19543
7908,11787
7908,16299
7908,13757
9783,10900
1006,6562
1006,1799
1006,5261
1006,11022
1006,2575
11022,15218
10453,11022
4486,11022
12852,19923
10648,11768
13407,17346
10833,13407
3998,13407
8553,13407
8236,13407
2994,13407
13407,21172
7746,12852
12852,13448
2041,12852
11768,17220
11768,18196
1061,11768
6189,11768
11768,12911
6046,19571
7645,14502
1799,4212
1799,6724
231,1799
1799,10136
1799,7577
1799,10122
8935,19334
11787,19543
11787,16299
2575,10368
2575,18116
2575,7429
2575,11993
2575,18783
2575,14124
2575,11823
2575,11953
4486,10453
6097,10453
6225,10453
10453,13073
3602,10453
10453,18260
158,10453
2656,4486
4486,5058
4102,4486
2994,17346
548,3998
6229,8553
8553,8829
8236,21172
2994,18360
2994,20776
2994,7627
7617,21172
20757,21172
1046,21172
7746,8770
13448,18195
2041,8770
2041,8580
2041,3594
2946,17220
854,17220
14622,17220
17220,17510
17127,17220
17220,17452
8239,17220
12911,17220
15344,17220
12913,17220
17220,17650
11635,17220
14134,17220
17016,17220
1598,17220
15424,18196
7112,18196
1061,18196
1836,18196
18196,20656
8247,18196
1061,7112
12911,13105
5140,12911
12911,14134
663,12911
8664,12911
763,12911
12911,19071
4212,10136
6724,7577
231,1411
231,10122
231,3405
231,1305
231,1853
2690,10368
10817,18116
12484,18116
8775,18116
16521,18116
14314,18116
12108,18116
4046,18116
8018,18116
6102,18116
17022,18116
18116,18783
7429,11953
7429,15171
12108,18783
14124,14624
11823,11989
11823,19258
11953,15171
11722,11953
11953,14346
6195,11953
11953,12564
7701,11953
11953,13269
344,11953
11953,17817
11953,21242
6203,11953
6097,8452
6097,8239
6097,20165
6097,18260
6097,12375
2916,6097
6097,12004
6097,8682
6225,17282
6225,14444
6225,8207
3602,6225
6225,17074
6225,13203
6225,12886
4344,6225
6225,14491
6225,7773
10451,13073
10452,13073
158,13073
7875,18260
8266,18260
9963,18260
332,18260
2926,18260
5233,18260
18260,20947
1493,18260
1053,18260
158,17345
158,7656
2656,4102
1411,5058
5058,16630
4102,8706
4102,17526
548,6626
548,18665
548,15315
6229,10852
5381,6229
6229,8775
43,6229
6229,9808
6229,16080
181,6229
6229,21047
6229,6392
8829,14001
2996,18360
10677,18360
18360,20776
2973,18360
18360,18831
