146533,507067,507067,480258,97772,
187607,26698,539823,26698,437913,
153216,161558,415861,439776,162074,
284655,476504,462530,466428,462530,
126390,365,381230,54379,407862,
324404,181746,389780,316818,181746,
282012,439533,466492,456856,456856,
301865,257910,501689,288266,455370,
276944,3943,137712,49385,137712,
36574,507338,85836,61093,278750,
290821,499588,46670,221993,276067,
257664,190469,440456,440456,466637,
168243,24819,403018,402186,323418,
297849,47633,12660,333406,47633,
79008,395342,395342,195512,63614,
74544,74146,371003,275409,7035,
125883,182500,178083,425865,245310,
267239,378887,113898,271429,158344,
300448,366943,296685,218537,366943,
266135,146947,236591,266133,152389,
276471,25222,419541,470200,156842,
73766,312556,245990,45195,490796,
300238,290145,290145,290145,88371,
172871,452472,260883,373202,373202,
297608,266177,367675,486535,487448,
159508,183769,32162,183769,183769,
160798,233468,353931,522415,281988,
232111,195531,103920,1164,195531,
172020,218182,285035,262162,345979,
248505,210144,215148,371116,138218,
146395,325631,325631,513545,107396,
155373,224239,146034,314512,527641,
174489,447016,56410,447016,61569,
148338,92754,175442,175442,48558,
170671,174091,327672,458605,471978,
197609,52236,394618,353245,42284,
73597,373245,339629,167582,515019,
329128,160090,83320,353941,77480,
293553,178132,523893,476954,38844,
193417,381427,224332,212037,350507,
152330,536357,516429,177536,169803,
12148,381991,408281,438146,53935,
28412,523895,43691,267964,351947,
189069,20146,395525,421631,490952,
116351,404169,472005,544275,105919,
201192,353626,527783,507877,414060,
42687,91445,487203,161938,91446,
251981,443910,524632,51681,384702,
51394,523053,51397,51397,323603,
238597,270045,175344,517601,445887,
309046,261015,68388,261015,409015,
51493,491661,267320,383290,383290,
59514,3427,143573,143573,143573,
17351,189183,189183,169709,51638,
104225,500098,214667,163785,20815,
81079,407415,357039,240408,357039,
1533,255863,255863,255860,255858,
115449,166883,117003,104380,104380,
128106,128104,128115,128115,128115,
59900,524447,415289,524447,524447,
224393,123293,188041,221758,39625,
213548,68530,2921,384896,426997,
1330,230233,55121,532537,410152,
118064,109895,301263,301263,375116,
260512,464785,379533,370443,488025,
144927,386190,408618,457938,457938,
4363,324875,450069,330348,324875,
324316,103631,370100,353397,533744,
221087,382351,358405,270390,210444,
108909,451164,527185,527185,184078,
286474,509383,237380,433065,392395,
195357,524079,264693,179533,516703,
125973,137956,475933,227201,163846,
83946,148157,421102,63250,421102,
72095,511373,239656,135302,135302,
133398,515,247527,359879,359879,
170852,251270,323234,122110,491704,
112519,495219,145254,479767,173349,
115211,326151,326151,116250,195167,
183018,130624,130624,16931,16927,
225098,520711,95073,371305,95073,
87989,173429,173429,173429,426454,
310794,69459,69459,114500,368755,
93076,339382,372185,68199,363620,
73438,101679,147352,197612,380722,
3577,438716,214288,214288,383934,
181446,538489,547403,452516,543735,
138375,178463,213682,116665,116664,
145968,309111,95368,84372,524710,
211405,262351,386149,207218,386149,
143447,134133,85286,158994,165711,
8701,15532,391693,3431,391693,
124194,133795,223692,450910,133795,
229788,42398,438452,186722,395575,
73063,465444,412472,148190,181184,
39666,26946,52052,26946,84429,
28399,433002,288068,436911,490105,
132978,128222,443530,514405,390932,
272858,178352,370615,405925,343775,
221896,487570,418127,535713,487570,
319515,288261,288261,309637,111373,
279805,191370,484737,51918,169810,
118643,1504,548179,267891,267891,
88161,482703,15478,482703,7035,
178439,519166,15429,166160,15429,
82902,200174,270378,373619,200170,
163141,534143,298104,489416,163132,
191554,305021,61240,424567,305021,
243839,259858,323571,455142,259858,
163170,385137,532949,338282,385137,
141390,299784,322506,350328,350328,
137747,386622,399742,386622,27398,
197609,42284,500904,462345,500904,
219094,232538,252836,464728,310403,
71728,146316,448089,481508,81498,
167781,338467,225829,398831,226469,
284799,327869,537650,327869,490892,
63705,106369,353464,318068,353464,
106049,360754,11175,73336,500365,
24416,364084,484343,163050,215549,
281121,287528,119616,149582,370406,
12362,72145,73712,41074,392978,
223383,298515,328969,312572,499388,
