242588,351975,148484,266717,190610,
102762,112466,27432,296480,294646,
202912,87422,141425,146772,89993,
202532,283215,354577,172202,142778,
234162,29501,261926,408010,3958,
209183,15251,15251,4121,25431,
139694,30805,56808,259893,169143,
141497,182818,182818,19683,302987,
262728,234361,273383,80851,234360,
196171,65351,144558,275360,269466,
298952,182336,313996,268541,103525,
282046,112577,403576,257505,189488,
270385,350056,270386,253167,270386,
141489,106942,423959,30060,423959,
148167,35157,87204,299217,322714,
13815,34143,89408,150845,49065,
273624,385098,283600,390919,402466,
150587,107663,21728,386519,376791,
183700,262554,322303,27089,150610,
15507,162604,6523,30581,128648,
120367,194158,98106,230062,120353,
50716,59304,65763,23911,406078,
259545,78459,288902,161495,128659,
178949,288238,120912,34284,163828,
103400,189720,9316,18848,53867,
151437,26208,126992,52009,381599,
20362,261358,31941,176078,54096,
42255,133933,71728,89852,61074,
277755,303039,348345,324337,79471,
172772,165655,144416,164087,164087,
218670,195909,72311,162219,162219,
148255,294911,411447,298337,186444,
149318,262676,188023,140407,262675,
203980,196272,68893,111727,75499,
186821,134115,167812,184926,299307,
57562,58028,105562,142423,19055,
125730,368331,63073,63073,368332,
257229,191602,354702,102891,218810,
115903,404660,163099,107041,261762,
220703,316233,213290,116819,21688,
194241,51914,54090,356048,20063,
237270,234867,172368,343585,102730,
82309,84846,30426,77182,49358,
247641,96241,61095,61095,82743,
300023,152341,217940,280743,279726,
61142,57870,401476,157330,42640,
103510,26536,169972,26059,209738,
87726,157460,134922,88461,151053,
56668,90662,361904,87107,237637,
78724,67778,27312,165903,103028,
292533,251808,251807,44556,366708,
227276,122777,257806,69435,122777,
212393,278175,99273,49984,99271,
316479,309535,315260,309533,321377,
312906,205452,120385,205452,224917,
296131,174027,171003,170870,66369,
291228,112323,397211,232958,233456,
94117,86551,60664,114420,21823,
314972,301057,415304,415304,287133,
229753,191402,122741,38534,78039,
66604,83026,149110,90550,352540,
174784,162513,162514,162514,23611,
255066,116760,300911,292462,414101,
75248,71946,71946,156725,149448,
125946,95684,115543,10119,56861,
103806,97041,97522,124419,107699,
152076,110251,19989,47693,19079,
128881,214297,224222,258096,411387,
195964,372085,59377,59378,59377,
21948,84295,15385,215446,140083,
172680,200490,200489,78465,128260,
225358,17319,17319,17319,101943,
77493,77494,407578,76336,16832,
246463,197354,203635,71896,93626,
274356,155923,201566,260098,289564,
100639,104555,285581,296089,99616,
168606,296963,168607,111126,8595,
168144,266946,65311,69363,86978,
155188,160892,98471,78932,43862,
294857,342707,24257,182552,43451,
203907,101147,307583,116689,41796,
286999,200875,138690,287000,306963,
220099,6447,86115,159146,35736,
16742,358909,165911,320510,172893,
53489,44416,43564,384442,375896,
226658,308637,44512,73744,83855,
193574,216220,97590,216220,212822,
294912,290817,28237,267498,14441,
54909,181955,362789,206314,191213,
111727,8425,103161,158006,77793,
49014,126418,64915,45977,405516,
142035,124760,248230,18679,38687,
265169,331955,199321,141204,294505,
53744,53745,13219,152266,6949,
53509,65807,50953,168032,57299,
302939,3992,30141,178293,302938,
256884,203307,34330,203307,203307,
188327,213879,183524,12619,258021,
92744,160026,283812,137441,137530,
291491,291498,189681,205199,291503,
