2941,594,836,1439,541,
1256,2968,261,1365,2740,
2999,3874,1078,2964,1400,
3661,1546,1685,1571,3824,
1208,2277,3517,1392,2341,
3462,831,749,868,868,
2846,705,2213,705,34,
1456,1164,914,223,1164,
3327,3743,776,2977,3778,
561,1589,1937,423,1589,
2753,1064,1131,3634,3487,
2243,1147,3679,2519,2394,
2247,405,2320,166,2254,
2780,2903,2821,2130,796,
293,3189,2417,153,2204,
2048,3,106,3327,3841,
2356,3501,997,3926,3501,
4143,2981,31,3074,117,
2451,284,1941,1941,3919,
4043,3179,1065,1065,1384,
1509,420,749,3219,3219,
2138,1809,2447,1572,3684,
1165,4024,914,3629,3629,
2550,1824,1707,1748,3951,
922,4021,2022,259,2022,
2744,2196,2369,711,2741,
1182,2296,988,2762,2762,
2412,1916,25,268,1939,
2146,2076,2076,2318,2318,
2839,3789,3168,2254,3789,
917,1561,2753,3714,1371,
2979,94,504,302,504,
4079,3613,3578,3283,1942,
3255,87,1211,2281,87,
346,2626,726,4157,94,
102,2430,2462,3752,740,
2123,4030,3693,4030,4030,
3578,117,739,117,2918,
1367,3499,2109,1064,3560,
253,1981,2321,3123,1616,
472,436,1513,436,1266,
1746,97,97,1266,3074,
3347,436,2981,2562,1103,
106,1210,4011,2075,1733,
1692,3671,3671,3255,3255,
2355,405,3591,2247,3794,
581,3307,1407,3499,3271,
3190,443,1053,1058,443,
3917,3707,3935,3707,1014,
2355,2896,3287,3896,311,
922,2466,153,3723,259,
2262,594,141,836,836,
997,3926,1331,1331,1331,
3206,5,3727,548,436,
1113,2192,2749,2192,796,
1016,2466,153,2466,2466,
989,1758,3179,3172,3934,
2166,1439,2941,541,1439,
3005,2328,1838,462,2328,
3964,775,2786,3813,1553,
3625,1187,3312,2856,2767,
3058,1593,1035,1176,1035,
2953,1553,3297,3171,2554,
3081,2355,2906,311,2254,
4129,2192,2821,1209,2168,
3917,2399,2410,475,2074,
3603,1117,169,43,569,
3794,2970,166,2357,405,
2201,2405,4011,1994,2250,
3328,346,956,346,2626,
917,1002,1091,3663,533,
3653,3074,3959,2516,283,
2290,3126,711,3935,331,
2429,847,180,996,366,
564,97,2032,4079,350,
4129,1113,2091,595,2782,
72,472,2216,3578,44,
2918,533,3727,2004,285,
1439,594,141,228,141,
2637,997,1331,2356,3780,
3707,1137,475,1030,2398,
3315,412,1707,2209,533,
3934,3486,2161,1758,4043,
157,331,1030,2074,387,
462,1830,2328,3239,54,
2318,2076,2076,2477,3958,
3560,2109,3499,3594,785,
444,596,2251,2305,338,
878,3095,87,2388,3255,
1367,3151,514,427,1531,
3482,1274,2405,4014,1122,
3522,1095,3844,1246,3765,
1318,769,2513,1407,3648,
3487,2386,1103,189,1759,
1748,3297,106,1103,3613,
2606,1928,2062,3818,101,
3934,2898,3179,3172,2898,
2856,1641,3318,1187,1117,
757,556,2399,3916,2410,
2802,2462,2276,3382,2330,
3629,452,395,1183,3310,
3168,2280,405,2254,2235,
2979,94,96,815,94,
2268,335,799,775,799,
1949,117,1419,1419,2004,
2237,3192,1792,3192,510,
387,1137,711,2074,711,
2133,1274,470,737,3315,
3134,1063,570,1063,570,
3674,2743,2743,1302,2763,
189,3418,3663,66,3418,
604,2211,3074,3347,2984,
121,1942,2276,106,2250,
3588,2701,1657,2909,3964,
2758,3255,3255,3095,2754,
671,2133,1103,2562,6,
2432,2259,704,2259,704,
151,1608,977,2753,6,
581,1122,3499,1034,2819,
1378,1269,1302,2345,2743,
2824,2810,1510,379,131,
1685,3661,3685,1400,1907,
3462,1984,1898,3186,2645,
1983,3185,1644,1644,523,
497,1679,1679,3792,2669,
2039,1002,2759,2753,1513,
857,2936,2248,925,3273,
3486,974,974,2161,2898,
