query time:9.39925E-4
index creation time:0.003401654
971,4073,4
528,1275,2
1818,2934,4
405,3123,19
1596,2529,2
250,3207,3
784,2875,3
556,1014,11
2066,3668,4
103,1451,6
117,3074,19
1231,2049,3
168,3309,2
250,1002,20
1317,1921,2
85,2972,3
569,1997,13
2753,3653,19
356,1607,4
2489,3173,10
925,1546,10
1901,2677,3
605,2961,8
1064,1783,19
204,3358,3
1343,3930,2
2437,3839,3
1113,3659,13
25,621,4
746,789,5
892,2139,2
513,593,2
2522,3255,4
501,3058,2
1845,2777,2
1134,2613,3
1787,3189,3
1994,2753,19
1413,2475,4
2635,3905,4
2366,2989,3
180,1099,3
866,3699,2
1722,3374,3
1237,3054,13
405,2429,19
1063,2446,12
3253,3733,3
166,2320,5
1051,1113,13
1451,2303,6
898,2158,2
255,2583,4
642,1360,3
1793,3290,2
1771,3503,3
85,3984,3
2654,3691,6
3174,3283,20
383,407,19
1113,1209,13
2951,3737,2
2112,2283,3
1198,1709,3
845,3920,2
2238,2422,2
581,2109,4
395,1092,2
1399,1481,2
569,3054,13
1237,3550,13
289,1320,10
532,2575,10
597,864,2
1559,2429,19
532,2549,10
2789,4003,2
995,1680,3
707,3935,11
3135,3498,5
1559,2233,19
1268,1643,3
1113,3897,13
409,2811,2
1827,2595,2
1476,2722,2
1045,3933,4
518,2291,13
2299,2330,3
182,2684,2
1290,2128,3
2741,3916,11
604,3748,2
776,2248,11
1920,2130,3
3058,3969,3
2620,3220,2
1415,2836,2
399,1363,2
2448,2483,2
604,2308,3
2,2036,3
150,531,5
1796,3447,4
1578,2420,2
169,3603,10
3320,3796,3
572,2446,12
477,2332,2
1082,3127,7
2635,3180,3
2599,2731,4
168,995,2
2319,2670,2
1757,2740,3
612,1210,3
995,2437,2
405,2233,19
2480,4042,2
2320,3081,19
3193,3358,3
2654,3824,6
2020,2268,4
187,3355,3
3556,3729,5
3155,3560,4
162,864,2
2098,3788,2
1923,4079,18
1180,2615,2
1873,1935,12
112,1921,4
2522,3540,3
282,1985,2
3698,3956,2
97,3487,20
2906,3123,19
572,1935,12
939,1491,2
2386,3613,16
874,2411,2
1231,1566,3
4105,3964,2
716,2593,4
1064,3613,16
4121,3782,9
405,1945,19
1708,3066,3
565,3827,3
2626,3787,3
213,519,2
1064,3174,19
2140,3605,2
2501,4053,4
2999,4020,11
925,3273,11
239,556,11
2020,3243,2
1356,2978,2
1033,2036,3
866,1111,3
2042,3827,3
2772,3530,2
1192,3287,14
383,1226,19
472,2753,4
1169,1226,19
387,3935,11
2400,3201,2
2586,2635,2
471,2772,3
733,2144,2
100,3768,3
3653,4079,20
25,660,4
1659,1796,4
3127,3941,7
1677,2319,2
623,2237,5
227,2496,5
178,1816,4
810,3124,3
3802,4040,3
1394,1981,20
451,510,4
1923,3487,18
87,2522,4
1435,3127,7
1479,3570,3
201,3897,13
2161,3179,5
1643,2141,3
2320,3123,19
1282,2268,4
121,1733,6
2466,3723,4
1411,1902,3
2605,3941,7
1453,3058,3
338,2013,12
2753,3174,19
1796,2089,4
201,426,13
1974,2376,3
1408,2909,2
922,1083,3
2320,2429,19
517,3733,3
2597,2949,3
1571,2518,3
6,117,20
2360,3447,3
2022,2977,3
789,3498,5
528,538,2
219,1753,4
2049,3742,5
3049,4005,2
1192,1945,16
466,3548,2
978,3553,3
792,1329,4
1023,1053,4
2496,3970,5
239,757,11
1535,1945,19
1113,2081,13
1226,3789,19
409,1328,2
2444,2831,2
1026,2271,4
922,1224,2
694,1033,3
932,2064,4
565,1294,2
356,4026,3
791,2817,3
491,1676,2
447,1136,2
1192,1226,16
3124,3549,2
1828,3742,2
1561,2668,4
106,2048,3
1949,2039,6
73,1003,3
347,3358,3
556,2741,11
1420,2033,4
4121,734,5
1766,3406,3
596,2013,12
2196,2741,11
2563,3834,2
1180,2130,3
2429,3789,19
1113,2291,13
776,925,11
1697,2480,2
407,2320,19
1153,4080,2
1616,3081,19
1238,1680,3
2064,2932,2
936,1185,3
1256,1757,3
758,3056,3
122,1194,10
645,2158,2
1048,1226,19
112,2802,4
472,1944,4
706,1535,19
513,1792,3
405,3081,19
293,3189,4
1134,1150,3
746,2620,2
1268,2332,2
2977,3253,3
1513,1546,2
1061,2432,4
1935,2995,12
3729,4030,5
155,3325,7
3074,3613,16
26,2697,3
1797,3294,3
2484,3252,3
1107,3012,4
1169,3123,19
101,2606,4
799,936,3
2606,3818,4
885,1777,13
1488,3406,3
1254,2946,2
1006,1771,3
3388,3742,4
780,3940,2
2245,3020,2
1429,3955,3
799,1656,3
1180,1920,3
866,3947,2
172,2178,3
533,3180,4
1594,2467,3
1575,3753,4
1498,1997,13
169,2767,10
975,1231,2
2064,3943,3
785,3560,4
3756,3923,3
1792,3192,5
3322,3958,4
1095,1246,4
3578,3613,4
1002,3613,16
1575,4033,3
1210,1923,3
2081,2291,13
3881,3889,4
925,3989,11
1715,3494,2
3384,3471,2
2366,3074,5
985,3400,3
3273,3989,11
311,2776,19
2979,3125,3
297,2828,2
117,1064,19
2549,3555,10
1185,2686,3
1641,3318,13
403,1045,4
1901,2315,2
202,3792,3
1280,2128,3
707,2741,11
2875,3538,3
1333,2606,4
383,405,19
103,1600,3
141,352,4
1830,1838,5
2233,2867,19
2588,3818,4
1268,2141,3
1531,2405,4
43,2846,10
1231,1458,2
3357,3358,3
85,3117,4
951,2462,5
82,2132,2
1099,2350,8
893,1745,3
3174,3653,20
2020,3841,2
1194,3173,10
1959,4079,2
301,3645,3
2386,3297,20
573,1946,3
569,3603,13
878,1211,4
233,2879,2
1002,1923,18
353,3172,5
34,3603,10
34,2767,10
2711,3660,8
1616,1945,19
3401,3825,3
1471,1566,3
2886,3449,2
1559,1981,19
605,1434,3
2145,2990,2
2022,2466,4
1925,2599,4
716,2036,3
836,2941,4
1002,3653,20
2864,3056,3
387,757,11
1773,2320,2
1946,2128,3
102,1915,3
1588,2033,3
472,3613,4
1669,2128,3
1494,2890,2
250,1923,18
2163,3601,3
564,3473,3
215,2031,2
3079,3756,3
1616,3123,19
4121,2350,9
56,3839,3
383,1169,19
2548,3438,2
463,1674,3
195,1868,3
2233,2906,19
239,3126,11
1064,3074,19
450,1469,2
799,2701,6
1844,3578,2
2746,2828,2
3989,4020,11
1280,3955,3
172,2130,4
1427,3415,4
1451,3987,6
832,2081,13
905,2829,2
706,1616,19
985,3074,4
3174,3613,16
334,1818,2
2914,4008,3
180,2254,2
1455,2906,3
2420,3167,2
1051,1209,13
1169,3287,19
969,2141,2
1317,1477,2
941,3889,4
1064,3653,19
864,3958,3
1331,2474,4
1169,1559,19
1224,2385,2
716,2307,3
741,1643,2
1659,3222,4
3487,4079,20
106,1923,4
85,1620,4
1284,1531,4
2846,3603,10
1082,2634,7
2128,2753,2
1620,1665,4
3253,3930,4
97,3297,20
121,2909,6
1226,1559,19
1373,2800,2
991,3069,2
311,3123,19
1692,2673,4
112,1376,3
1139,1165,3
1392,3517,3
3407,3415,3
572,1873,12
4121,3660,8
596,1160,12
706,1945,19
1709,2204,3
859,1186,3
2516,3207,3
1048,1169,19
985,2594,3
2049,3955,3
1064,1733,6
1014,3935,11
2749,2780,13
2604,3813,6
250,4079,20
1226,2233,19
615,1953,3
3036,3469,2
716,2994,2
302,3125,3
2254,2413,3
1169,2906,19
1416,4046,3
687,2959,6
4121,1018,9
637,877,2
2022,2204,4
103,428,3
6,2386,20
516,2102,3
2867,3287,19
2128,2798,3
2216,2374,3
121,799,6
700,970,3
3484,3514,2
1353,1441,3
1192,3123,16
969,2643,3
3074,4080,4
1209,2291,13
347,3193,4
692,859,3
557,2680,4
1546,2248,10
2780,3897,13
3930,4018,2
2386,3074,19
117,2032,4
302,3787,3
873,2648,2
970,2199,3
1192,2867,16
2344,3578,3
549,1933,2
3747,4064,3
338,2995,12
1945,2429,19
1213,2199,5
1701,4080,4
2533,3788,3
4128,2802,2
428,2909,3
3433,3903,2
767,3555,10
117,1553,19
701,1354,4
889,1361,3
3547,3898,3
1063,2995,12
2392,3669,2
449,3955,2
2415,3791,2
6,3297,20
4121,605,8
603,723,3
1394,2776,19
338,3483,12
247,3705,2
944,1167,2
311,1616,19
3283,4079,20
2128,2264,3
2575,3173,10
569,1368,2
1031,1935,12
1856,2210,2
477,2128,3
1048,1616,19
477,2254,3
364,462,3
1409,2367,3
4124,258,2
428,2248,10
1229,2141,2
1429,2128,3
85,1156,4
405,706,19
1944,3613,4
383,1559,19
2447,3684,4
546,2954,3
1176,3955,3
3578,3663,4
4109,2228,3
3297,3613,16
330,496,4
2128,3439,3
1981,2429,19
407,1559,19
1592,3653,3
1048,1559,19
2909,4003,2
518,3897,13
3092,3124,3
1625,2613,4
1048,3287,19
4147,2465,2
1607,4020,4
405,2320,19
1100,1941,4
1677,2673,4
214,2564,3
76,3200,4
1234,2036,3
1198,3776,3
2428,3888,3
250,2753,19
1697,3360,3
